Game,Genre
Dota 2,Strategy
Counter-Strike Global Offensive,Action
Team Fortress 2,Action
Counter-Strike,FPS
Sid Meier's Civilization V,Strategy
Counter-Strike Source,FPS
The Elder Scrolls V Skyrim,Action
Garry's Mod,Sandbox
Call of Duty Modern Warfare 2 - Multiplayer,FPS
Left 4 Dead 2,Survival
Football Manager 2013,Simulation
Football Manager 2012,Simulation
Football Manager 2014,Simulation
Terraria,Action
Warframe,Action
Football Manager 2015,Simulation
Arma 3,FPS
Grand Theft Auto V,Sandbox
Borderlands 2,Action
Empire Total War,Strategy
Half-Life 2,FPS
Half-Life 2 Lost Coast,FPS
Unturned,Survival
Heroes & Generals,FPS
Counter-Strike Condition Zero,FPS
Half-Life 2 Deathmatch,FPS
Counter-Strike Condition Zero Deleted Scenes,FPS
Robocraft,FPS
War Thunder,Action
Portal,Puzzle
Portal 2,Puzzle
Day of Defeat,FPS
Ricochet,FPS
Deathmatch Classic,FPS
No More Room in Hell,FPS
PAYDAY 2,FPS
Day of Defeat Source,FPS
Counter-Strike Nexon Zombies,FPS
Half-Life 2 Episode One,FPS
PlanetSide 2,FPS
Half-Life,FPS
Trove,Sandbox
The Elder Scrolls V Skyrim - Dawnguard,Action
The Elder Scrolls V Skyrim - Hearthfire,Action
Team Fortress Classic,FPS
Half-Life Opposing Force,FPS
The Elder Scrolls V Skyrim - Dragonborn,Action
Half-Life 2 Episode Two,FPS
Half-Life Blue Shift,FPS
Loadout,Action
Nosgoth,Action
Dead Island Epidemic,Strategy
Call of Duty Modern Warfare 2,FPS
Path of Exile,RPG
Fallout New Vegas,RPG
Warface,FPS
Dirty Bomb,FPS
Tom Clancy's Ghost Recon Phantoms - NA,FPS
Metro 2033,FPS
Marvel Heroes 2015,Action
BioShock Infinite,FPS
Alien Swarm,Action
Neverwinter,RPG
Grand Theft Auto IV,Sandbox
Left 4 Dead,Survival
PAYDAY The Heist,FPS
Arma 2,FPS
Half-Life Deathmatch Source,FPS
APB Reloaded,FPS
Saints Row The Third,Action
The Witcher 2 Assassins of Kings Enhanced Edition,RPG
FreeStyle2 Street Basketball,Sports
Tomb Raider,Action
Don't Starve Together Beta,Survival
Call of Duty Black Ops,FPS
Call of Duty Black Ops - Multiplayer,FPS
Arma 2 Operation Arrowhead,FPS
Arma 2 Operation Arrowhead Beta (Obsolete),FPS
DayZ,Survival
theHunter,Simulation
Clicker Heroes,Casual
Tom Clancy's Ghost Recon Phantoms - EU,Action
Just Cause 2,Action
Sniper Elite V2,Action
Magicka,Action
Sid Meier's Civilization V Brave New World,Strategy
Call of Duty Modern Warfare 3,FPS
Call of Duty Modern Warfare 3 - Multiplayer,FPS
Age of Empires II HD Edition,Strategy
Magicka Wizard Wars,Sandbox
Skyrim High Resolution Texture Pack,Action
Dead Island,RPG
Amnesia The Dark Descent,Survival
HAWKEN,FPS
BioShock,FPS
Torchlight II,RPG
TERA,RPG
AdVenture Capitalist,Simulation
Patch testing for Chivalry,Action
Chivalry Medieval Warfare,Action
GunZ 2 The Second Duel,Action
Defiance,Action
Killing Floor,Survival
Quake Live,FPS
Rust,Survival
Killing Floor Mod Defence Alliance 2,Survival
Batman Arkham City GOTY,Action
BLOCKADE 3D,FPS
Far Cry 3,Action
Fallout New Vegas Dead Money,Action
Fallout New Vegas Honest Hearts,Action
Rising Storm/Red Orchestra 2 Multiplayer,FPS
Don't Starve,Survival
Total War SHOGUN 2,FPS
Hitman Absolution,Action
Firefall,Action
XCOM Enemy Unknown,Strategy
Company of Heroes (New Steam Version),Strategy
RaceRoom Racing Experience ,Sports
Half-Life Source,FPS
The Binding of Isaac,Casual
Insurgency,FPS
Mirror's Edge,Action
Fallout New Vegas Courier's Stash,Survival
Euro Truck Simulator 2,Simulation
Trine 2,Puzzle
BioShock 2,FPS
Borderlands,FPS
Batman Arkham Asylum GOTY Edition,Action
Grand Theft Auto Episodes from Liberty City,Sandbox
Company of Heroes,Strategy
Grand Theft Auto San Andreas,Sandbox
Castle Crashers,Casual
Blacklight Retribution,FPS
Dishonored,Action
Survarium,FPS
Realm of the Mad God,Action
Call of Duty Black Ops II - Multiplayer,FPS
Red Orchestra 2 Heroes of Stalingrad - Single Player,FPS
Call of Duty Black Ops II - Zombies,FPS
Call of Duty Black Ops II,FPS
Fallout 4,RPG
Napoleon Total War,Strategy
The Witcher Enhanced Edition,RPG
Total War ROME II - Emperor Edition,Strategy
Saints Row IV,Action
Deus Ex Human Revolution,RPG
ARK Survival Evolved,Survival
Gotham City Impostors Free To Play,Action
Cry of Fear,Survival
RIFT,RPG
"Warhammer 40,000 Dawn of War II",Strategy
Arma 3 Zeus,FPS
Dead Space,FPS
FTL Faster Than Light,Strategy
Rocket League,Sports
Toribash,Action
DC Universe Online,Action
Fistful of Frags,FPS
Darksiders,Action
Super Meat Boy,Action
Saints Row 2,Action
The Expendabros,Action
Batman Arkham Origins,Action
Crysis 2 Maximum Edition,FPS
Tactical Intervention,FPS
Mafia II,Action
Goat Simulator,Simulation
Rise of Incarnates,Action
SMITE,Action
Company of Heroes Opposing Fronts,Strategy
The Mighty Quest For Epic Loot,Action
Fallout 3 - Game of the Year Edition,Action
Bastion,Action
Star Wars - Battlefront II,FPS
Archeblade,Action
Borderlands DLC The Zombie Island of Dr. Ned,Survival
Sid Meier's Civilization V Scrambled Continents Map Pack,Strategy
Spiral Knights,RPG
Borderlands DLC The Secret Armory of General Knoxx,FPS
H1Z1 Test Server,Survival
H1Z1,Survival
Dungeon Defenders,RPG
Orcs Must Die! 2,Tower Defence
Dark Souls Prepare to Die Edition,Action
Borderlands DLC Mad Moxxi's Underdome Riot,FPS
Aura Kingdom,RPG
Starbound - Unstable,Action
Starbound,Action
LIMBO,Puzzle
The Forest,Survival
Free to Play,Free to Play
Mount & Blade Warband,Strategy
Arma 2 DayZ Mod,FPS
Natural Selection 2,Strategy
Alan Wake,Action
Company of Heroes Tales of Valor,Strategy
Burnout Paradise The Ultimate Box,Sports
Borderlands DLC Claptraps New Robot Revolution,FPS
Star Wars Knights of the Old Republic,FPS
BattleBlock Theater,Casual
ORION Prelude,Action
The Walking Dead,Survival
Cities Skylines,Simulation
Hitman Sniper Challenge,Action
America's Army Proving Grounds,FPS
Fallen Earth,RPG
World of Guns Gun Disassembly,Simulation
Battlefield Bad Company 2,FPS
Max Payne 3,Action
Serious Sam 3 BFE,FPS
F.E.A.R. 3,Survival
Titan Quest,RPG
Gear Up,Action
Prison Architect,Simulation
Age of Empires II HD The Forgotten,Strategy
Hotline Miami,Action
F.E.A.R. 2 Project Origin,Survival
Happy Wars,RPG
The Lord of the Rings Online,RPG
Dungeon Defenders II,Tower Defence
Serious Sam HD The Second Encounter,FPS
Medal of Honor Pre-Order,FPS
Medal of Honor(TM) Single Player,FPS
Red Faction Armageddon,Action
Medal of Honor(TM) Multiplayer,FPS
Medieval II Total War,Strategy
Star Conflict,Action
Company of Heroes 2,Strategy
Middle-earth Shadow of Mordor,Action
Mass Effect 2,RPG
The Stanley Parable,Simulation
Surgeon Simulator,Simulation
Space Engineers,Sandbox
Magicka Vietnam,Action
Dino D-Day,FPS
Enclave,Action
South Park The Stick of Truth,RPG
Age of Empires III Complete Collection,Strategy
Rome Total War,Strategy
Stronghold Kingdoms,Strategy
Awesomenauts,Action
Sleeping Dogs,Action
Grand Theft Auto Vice City,Sandbox
Darksiders II,Action
Tribes Ascend,FPS
Trine,Puzzle
7 Days to Die,Survival
sZone-Online,Survival
Metro Last Light,FPS
Crusader Kings II,Strategy
The Elder Scrolls IV Oblivion ,Action
"Warhammer 40,000 Dawn of War II  Retribution",Strategy
STAR WARS Knights of the Old Republic II The Sith Lords,Action
Mark of the Ninja,Action
Thief,Action
Star Trek Online,RPG
Double Action Boogaloo,Action
Scribblenauts Unlimited,Sandbox
Sid Meier's Civilization IV,Strategy
Kerbal Space Program,Simulation
Magic Duels,Collectible Card Game
Tropico 3 - Steam Special Edition,Simulation
The Lord of the Rings War in the North,Action
Deus Ex Human Revolution - Director's Cut,RPG
War of the Roses,Strategy
Strife,FPS
"Warhammer 40,000 Dawn of War II - Chaos Rising",Strategy
Monaco,Action
Mass Effect,RPG
Outlast,Survival
Torchlight,RPG
Besiege,Sandbox
Dead Island Riptide,Survival
Far Cry 2 Fortunes Pack,FPS
Far Cry 2,FPS
Transformice,Casual
Banished,Strategy
Sanctum 2,Tower Defence
Brick-Force,FPS
L.A. Noire,Action
"Papers, Please",Puzzle
Tropico 4,Simulation
RACE 07,Sports
Orcs Must Die!,Tower Defence
Audiosurf,Puzzle
Brawlhalla,Action
Dizzel,Action
Call of Duty Ghosts,FPS
Grand Theft Auto III,Sandbox
Ragnarok Online 2,RPG
Call of Duty Ghosts - Multiplayer,FPS
